time,mousex,mousey,inittarget,harvtarget,intrial,targetx,targety,blockvar
14056,725,601,1,0,0,720,400,0
14069,725,601,1,0,0,720,400,0
14082,725,601,1,0,0,720,400,0
14096,725,601,1,0,0,720,400,0
14109,725,601,1,0,0,720,400,0
14122,725,601,1,0,0,720,400,0
14136,725,601,1,0,0,720,400,0
14149,725,601,1,0,0,720,400,0
14162,725,601,1,0,0,720,400,0
14177,725,601,1,0,0,720,400,0
14190,725,601,1,0,0,720,400,0
14204,725,601,1,0,0,720,400,0
14218,725,601,1,0,0,720,400,0
14230,725,601,1,0,0,720,400,0
14244,725,601,1,0,0,720,400,0
14256,725,601,1,0,0,720,400,0
14271,725,601,1,0,0,720,400,0
14284,725,601,1,0,0,720,400,0
14298,725,601,1,0,0,720,400,0
14311,725,601,1,0,0,720,400,0
14323,725,601,1,0,0,720,400,0
14337,725,601,1,0,0,720,400,0
14350,725,601,1,0,0,720,400,0
14363,725,601,1,0,0,720,400,0
14377,725,601,1,0,0,720,400,0
14390,725,601,1,0,0,720,400,0
14404,725,601,1,0,0,720,400,0
14419,725,601,1,0,0,720,400,0
14433,725,601,1,0,0,720,400,0
14444,725,601,1,0,0,720,400,0
14457,725,601,1,0,0,720,400,0
14471,725,601,1,0,0,720,400,0
14485,725,601,1,0,0,720,400,0
14498,725,601,1,0,0,720,400,0
14512,725,601,1,0,0,720,400,0
14523,725,601,1,0,0,720,400,0
14537,725,601,1,0,0,720,400,0
14550,725,601,1,0,0,720,400,0
14564,725,601,1,0,0,720,400,0
14578,725,601,1,0,0,720,400,0
14590,725,601,1,0,0,720,400,0
14604,725,601,1,0,0,720,400,0
14618,725,601,1,0,0,720,400,0
14631,725,601,1,0,0,720,400,0
14644,725,601,1,0,0,720,400,0
14658,725,601,1,0,0,720,400,0
14671,725,601,1,0,0,720,400,0
14684,725,601,1,0,0,720,400,0
14698,725,601,1,0,0,720,400,0
14712,725,601,1,0,0,720,400,0
14726,725,601,1,0,1,720,400,0
14738,725,601,1,0,1,720,400,0
14753,725,601,1,0,1,720,400,0
14767,725,601,1,0,1,720,400,0
14778,725,601,1,0,1,720,400,0
14794,725,601,1,0,1,720,400,0
14806,725,601,1,0,1,720,400,0
14821,725,601,1,0,1,720,400,0
14835,725,601,1,0,1,720,400,0
14846,725,601,1,0,1,720,400,0
14861,725,601,1,0,1,720,400,0
14873,725,601,1,0,1,720,400,0
14887,725,601,1,0,1,720,400,0
14901,725,601,1,0,1,720,400,0
14914,725,601,1,0,1,720,400,0
14928,725,601,1,0,1,720,400,0
14940,725,601,1,0,1,720,400,0
14953,725,601,1,0,1,720,400,0
14967,725,601,1,0,1,720,400,0
14980,725,601,1,0,1,720,400,0
14994,725,601,1,0,1,720,400,0
15006,725,601,1,0,1,720,400,0
15019,725,601,1,0,1,720,400,0
